     raggio ew(r)/ew(inf)
0.10000E-08 0.302
0.20000E-08 0.549
0.30000E-08 0.671
0.40000E-08 0.741
0.50000E-08 0.787
0.60000E-08 0.819
0.70000E-08 0.843
0.80000E-08 0.861
0.90000E-08 0.875
0.10000E-07 0.887
0.20000E-07 0.942
0.30000E-07 0.961
0.40000E-07 0.970
0.50000E-07 0.976
0.60000E-07 0.980
0.70000E-07 0.983
0.80000E-07 0.985
0.90000E-07 0.987
0.10000E-06 0.988
0.20000E-06 0.994
0.30000E-06 0.996
0.40000E-06 0.997
0.50000E-06 0.998
0.60000E-06 0.998
0.70000E-06 0.998
0.80000E-06 0.999
0.90000E-06 0.999
0.10000E-05 0.999
0.20000E-05 0.999
0.30000E-05 1.000
0.40000E-05 1.000
0.50000E-05 1.000
0.60000E-05 1.000
0.70000E-05 1.000
0.80000E-05 1.000
0.90000E-05 1.000
0.10000E-04 1.000
