     raggio ew(r)/ew(inf)
0.10000E-08 3.315
0.20000E-08 1.821
0.30000E-08 1.491
0.40000E-08 1.349
0.50000E-08 1.271
0.60000E-08 1.221
0.70000E-08 1.187
0.80000E-08 1.162
0.90000E-08 1.142
0.10000E-07 1.127
0.20000E-07 1.062
0.30000E-07 1.041
0.40000E-07 1.030
0.50000E-07 1.024
0.60000E-07 1.020
0.70000E-07 1.017
0.80000E-07 1.015
0.90000E-07 1.013
0.10000E-06 1.012
0.20000E-06 1.006
0.30000E-06 1.004
0.40000E-06 1.003
0.50000E-06 1.002
0.60000E-06 1.002
0.70000E-06 1.002
0.80000E-06 1.001
0.90000E-06 1.001
0.10000E-05 1.001
0.20000E-05 1.001
0.30000E-05 1.000
0.40000E-05 1.000
0.50000E-05 1.000
0.60000E-05 1.000
0.70000E-05 1.000
0.80000E-05 1.000
0.90000E-05 1.000
0.10000E-04 1.000
